Hz	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125	Average PSD:
208	0.000546109	0.00236789	0.000811632	0.000460633	0.001252	4.26887e-05	0.000173199	0.00156839	0.000702239	0.000304839	0.00313685	0.00138792	0.000619199	0.000187283	0.000936073	0.000642318	0.000208228	0.000902793
216	0.000343559	0.000681572	0.000394631	0.00048299	8.94382e-05	0.000984722	0.000296613	0.000102479	0.000710822	0.000341287	0.0015642	0.00045211	5.59986e-05	0.00178588	0.000647059	0.000119875	3.03342e-05	0.000534327
224	0.000533685	0.000592246	0.000446782	0.000507901	0.00293993	0.00158104	5.88844e-05	0.00140292	0.000243211	0.00112605	0.000315508	0.000329087	0.00022321	0.000958436	0.000704091	0.000387921	2.68328e-05	0.000728103
232	0.000508743	0.000333108	0.00120134	0.00158735	0.00196969	0.000265854	3.82782e-05	0.0013475	0.000704775	0.000226847	0.000321561	0.000985295	0.000761545	0.000403618	0.000718437	0.00029209	0.000154366	0.000695318
240	0.000118337	0.000308877	0.000402717	0.000201539	0.00076868	0.000492992	0.00128738	0.000470221	0.00096797	8.54724e-05	0.000799215	0.0011052	0.000484904	0.000535388	0.00221825	0.00044645	0.000202491	0.000640946
248	4.06294e-05	0.000547012	9.29e-06	0.000521189	8.16614e-05	0.000866371	0.00242086	0.000498585	0.000942507	0.000262613	0.000127759	0.00035441	0.000107766	0.00119491	0.00277858	0.00115971	0.0001645	0.000710492
256	0.000214301	0.000439256	0.00012409	0.000964293	0.00013424	0.000521001	0.00150585	0.00051949	0.000709793	0.000399192	0.000644559	0.00177052	0.0001594	0.00129175	0.000244994	0.00216273	0.000150237	0.000703277
264	0.000369806	0.00044597	7.74597e-06	0.000476748	0.000616165	0.00125456	0.000277491	0.000300412	0.000600908	0.000196644	5.78514e-05	0.00244832	0.000239965	3.08996e-05	0.000279163	0.0028227	0.000133881	0.000621131
272	0.000752255	0.000393283	0.000400353	0.000727209	0.000253225	0.00125149	0.000207494	0.000438196	0.000242751	0.000287906	0.000836276	0.000950928	0.000327095	0.000400851	0.00055107	0.00187935	0.000121026	0.000589456
280	0.00102442	0.00121778	0.000508035	0.000807452	0.000127371	9.42595e-05	0.000128354	0.000823552	0.000223486	0.00023624	0.000827889	0.000723121	0.000917834	0.00267653	0.000271649	0.000751993	0.000144919	0.000676758
288	0.000629604	0.00237707	0.000212769	0.00123867	1.17556e-05	2.87757e-05	0.000566887	0.000752256	0.000112404	2.14935e-05	0.00065327	0.000755625	0.00206354	0.00277192	0.000547576	7.67372e-05	0.000183966	0.00076496
296	0.000362944	0.00192822	0.00034208	0.00132653	0.000606912	0.000404493	0.000354584	0.000314965	0.000339432	1.28875e-06	0.00109194	0.000181441	0.000671942	0.000354168	0.000782782	0.000778054	0.000191767	0.000590208
304	0.000417609	0.000316988	7.17923e-05	7.92817e-05	0.000524232	0.00047527	0.000263005	0.000503828	0.00131592	0.00144266	0.000862689	8.85332e-05	0.000810761	0.000308456	9.69108e-05	0.000626333	0.000128951	0.000490189
312	0.00010943	0.000280314	0.000138393	1.43261e-05	0.000148304	0.00102417	0.00028771	0.000431119	0.000407889	0.0027453	0.000176072	0.00032221	0.000354195	4.29049e-05	0.000533241	0.000388453	4.57535e-05	0.000438223
320	0.000383512	0.000132626	0.000210859	3.81171e-05	0.000396004	0.00121561	0.000601775	1.64297e-05	0.00017906	0.00067515	0.000139349	0.00130999	0.000497981	0.000611232	0.00163367	1.26281e-05	1.24945e-05	0.000474499
328	0.00101009	0.00176604	0.000775536	0.000125181	0.000404972	0.00046877	0.00059612	5.88479e-05	0.000741891	0.00133168	0.000224058	0.00107141	0.00136365	0.000817488	0.00136082	0.000116127	0.00012249	0.000726775
336	0.000647539	0.00153922	0.000444693	0.000344603	0.000136751	0.000638284	0.000580444	0.000689677	0.00139456	0.000768483	0.00115553	0.000396343	0.000460093	0.000266415	0.000103522	0.000284256	0.00049571	0.000608595
344	0.000604767	0.000399213	0.000370126	0.000272536	0.000263399	0.000153148	0.00107971	0.000143309	0.000612455	0.000166137	0.00266154	0.000305846	0.000512728	0.000677113	0.000113972	0.000312434	0.00104957	0.000570471
352	0.00143853	0.000766212	0.00142526	2.65102e-05	0.000987452	0.000260078	0.00054499	0.00231163	3.59635e-06	0.000813415	0.00158839	0.00181094	0.000125239	0.000489438	2.46939e-06	0.000692019	0.00138326	0.000862908
