Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0.015625	1.10398		0.015625	0.00265927		64	0.557999		0.015625	-0.866495
0.0158691	-0.135356		0.0158691	-0.000336307		65	0.322443		0.0158691	-0.792048
0.0161133	-4.93401		0.0161133	-0.0126389		66	1.34401		0.0161133	-0.704622
0.0163574	-1.42657		0.0163574	-0.00376575		67	6.17902		0.0163574	-0.606853
0.0166016	1.42738		0.0166016	0.00388109		68	4.71177		0.0166016	-0.501644
0.0168457	-1.24907		0.0168457	-0.00349681		69	1.66038		0.0168457	-0.392076
0.0170898	-1.52319		0.0170898	-0.00438857		70	0.621975		0.0170898	-0.2813
0.017334	-2.88164		0.017334	-0.0085412		71	1.09663		0.017334	-0.172439
0.0175781	-0.392263		0.0175781	-0.00119562		72	1.20108		0.0175781	-0.0684839
0.0178223	-2.61921		0.0178223	-0.00820643		73	0.160317		0.0178223	0.0278033
0.0180664	2.16458		0.0180664	0.00696885		74	0.575766		0.0180664	0.113979
0.0183105	0.233309		0.0183105	0.000771556		75	0.945168		0.0183105	0.187994
0.0185547	0.790182		0.0185547	0.00268321		76	2.56517		0.0185547	0.24826
0.0187988	0.463996		0.0187988	0.00161727		77	5.05089		0.0187988	0.293697
0.019043	0.726661		0.019043	0.00259893		78	2.81675		0.019043	0.323762
0.0192871	3.55137		0.0192871	0.013029		79	1.77717		0.0192871	0.338465
0.0195312	0.290115		0.0195312	0.00109143		80	2.62603		0.0195312	0.338362
0.0197754	3.96445		0.0197754	0.0152892		81	3.99113		0.0197754	0.324526
0.0200195	3.33735		0.0200195	0.0131901		82	1.10022		0.0200195	0.298511
0.0202637	1.6256		0.0202637	0.00658225		83	13.4734		0.0202637	0.262287
0.0205078	0.73336		0.0205078	0.00304135		84	10.7658		0.0205078	0.218171
0.020752	0.442884		0.020752	0.00188063		85	4.72766		0.020752	0.168742
0.0209961	0.502731		0.0209961	0.00218522		86	3.43116		0.0209961	0.116743
0.0212402	-4.55325		0.0212402	-0.0202538		87	0.417674		0.0212402	0.0649883
0.0214844	2.45472		0.0214844	0.0111712		88	1.21045		0.0214844	0.0162591
0.0217285	-0.673525		0.0217285	-0.00313509		89	1.25856		0.0217285	-0.0267972
0.0219727	2.14878		0.0219727	0.0102277		90	0.638439		0.0219727	-0.0617612
0.0222168	2.25477		0.0222168	0.0109716		91	2.51302		0.0222168	-0.0865292
0.0224609	-2.09792		0.0224609	-0.0104336		92	2.98084		0.0224609	-0.0993894
0.0227051	-0.129547		0.0227051	-0.000658338		93	4.54956		0.0227051	-0.0990857
0.0229492	4.81178		0.0229492	0.0249805		94	2.8416		0.0229492	-0.0848639
0.0231934	-0.439512		0.0231934	-0.00233046		95	0.690475		0.0231934	-0.0565027
0.0234375	1.89758		0.0234375	0.0102742		96	4.97476		0.0234375	-0.0143244
0.0236816	-7.06421		0.0236816	-0.0390478		97	7.66495		0.0236816	0.0408114
0.0239258	3.58263		0.0239258	0.0202128		98	1.25599		0.0239258	0.107534
0.0241699	-0.280687		0.0241699	-0.00161603		99	2.1108		0.0241699	0.184006
0.0244141	-0.68115		0.0244141	-0.00400113		100	1.00857		0.0244141	0.267979
0.0246582	-0.290559		0.0246582	-0.001741		101	0.111677		0.0246582	0.356875
0.0249023	-0.524509		0.0249023	-0.00320522		102	1.13482		0.0249023	0.447863
0.0251465	5.11692		0.0251465	0.0318839		103	1.82463		0.0251465	0.537961
0.0253906	3.57059		0.0253906	0.0226818		104	4.82751		0.0253906	0.624132
0.0256348	2.66864		0.0256348	0.0172791		105	2.38257		0.0256348	0.703388
0.0258789	-1.52568		0.0258789	-0.0100672		106	0.985747		0.0258789	0.772892
0.026123	3.09114		0.026123	0.0207827		107	3.197		0.026123	0.830054
0.0263672	3.14701		0.0263672	0.0215548		108	1.13085		0.0263672	0.872619
0.0266113	1.46908		0.0266113	0.0102489		109	1.24644		0.0266113	0.898748
0.0268555	-0.493505		0.0268555	-0.00350621		110	3.07934		0.0268555	0.907078
0.0270996	-0.682262		0.0270996	-0.00493559		111	6.45648		0.0270996	0.896775
0.0273438	-0.0390165		0.0273438	-0.000287347		112	11.0728		0.0273438	0.867566
0.0275879	3.9102		0.0275879	0.0293129		113	5.50918		0.0275879	0.819745
0.027832	0.516032		0.027832	0.00393705		114	2.38151		0.027832	0.754177
0.0280762	4.30951		0.0280762	0.0334571		115	4.27615		0.0280762	0.672265
0.0283203	0.205718		0.0283203	0.00162493		116	4.09709		0.0283203	0.575911
0.0285645	0.0309442		0.0285645	0.000248643		117	6.32594		0.0285645	0.467457
0.0288086	-0.491276		0.0288086	-0.00401508		118	2.33552		0.0288086	0.34961
0.0290527	-0.305901		0.0290527	-0.0025425		119	68.3805		0.0290527	0.225357
0.0292969	3.11548		0.0292969	0.0263301		120	244.825		0.0292969	0.0978704
0.029541	1.23369		0.029541	0.0106004		121	44.9146		0.029541	-0.0295952
0.0297852	1.36158		0.0297852	0.0118928		122	1.71271		0.0297852	-0.153805
0.0300293	2.69086		0.0300293	0.0238894		123	0.729714		0.0300293	-0.271647
0.0302734	-4.96479		0.0302734	-0.0447946		124	2.9764		0.0302734	-0.380232
0.0305176	1.22944		0.0305176	0.0112717		125	1.60858		0.0305176	-0.476983
0.0307617	-0.994537		0.0307617	-0.00926405		126	0.261781		0.0307617	-0.559719
0.0310059	-3.86368		0.0310059	-0.0365617		127	0.589595		0.0310059	-0.626717
0.03125	2.75977		0.03125	0.026527		128	1.49415		0.03125	-0.676771
0.0314941	0.360154		0.0314941	0.00351594		129	1.72869		0.0314941	-0.709218
0.0317383	-1.05811		0.0317383	-0.0104899		130	0.14796		0.0317383	-0.723963
0.0319824	-1.80492		0.0319824	-0.0181689		131	2.45603		0.0319824	-0.721471
0.0322266	-6.05123		0.0322266	-0.0618441		132	2.79585		0.0322266	-0.702747
0.0324707	0.135397		0.0324707	0.00140474		133	1.13452		0.0324707	-0.669295
0.0327148	4.97349		0.0327148	0.052376		134	1.61311		0.0327148	-0.623065
0.032959	0.921059		0.032959	0.00984449		135	4.24815		0.032959	-0.566382
0.0332031	-5.82444		0.0332031	-0.0631753		136	3.38249		0.0332031	-0.501861
0.0334473	-3.3988		0.0334473	-0.0374075		137	0.136986		0.0334473	-0.432314
0.0336914	-5.98387		0.0336914	-0.0668204		138	2.09521		0.0336914	-0.360654
0.0339355	-3.03265		0.0339355	-0.0343555		139	1.64803		0.0339355	-0.289792
0.0341797	-0.75938		0.0341797	-0.00872642		140	0.831809		0.0341797	-0.222535
0.0344238	-0.916152		0.0344238	-0.0106783		141	1.14038		0.0344238	-0.161491
0.034668	2.78537		0.034668	0.0329255		142	0.1702		0.034668	-0.108975
0.0349121	2.19158		0.0349121	0.0262711		143	2.03659		0.0349121	-0.0669333
0.0351562	5.07932		0.0351562	0.0617384		144	0.405555		0.0351562	-0.0368745
0.0354004	-1.24209		0.0354004	-0.0153069		145	1.96234		0.0354004	-0.0198186
0.0356445	-2.6768		0.0356445	-0.0334423		146	1.15971		0.0356445	-0.0162624
0.0358887	0.786625		0.0358887	0.00996213		147	2.03904		0.0358887	-0.0261633
